"species_id","display_name","scientific_name","breed","accession","assembly_name","assembly_level","source_db","genome_mb","gc_percent","scaffold_n50_mb","data_status","data_note"
"sheep","Sheep","Ovis aries","Hu sheep","GCA_041121725.1","T2T-sheep1.0M","Chromosome","GenBank",2726.27,42.5,102.26,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"goat","Goat","Capra hircus","Inner Mongolia cashmere goat","GCA_040970035.1","T2T-goat2.0M","Chromosome","GenBank",2805.11,43,109.45,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"pig","Pig","Sus scrofa domesticus","Meishan","GCA_017957985.1","ASM1795798v1","Chromosome","GenBank",2510.04,42,138.97,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"pig","Pig","Sus scrofa domesticus","Ningxiang","GCA_020567905.1","ASM2056790v1","Chromosome","GenBank",2440.95,42,139.03,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"cattle","Cattle","Bos taurus","Wagyu","GCA_040286185.1","UOA_Wagyu_1","Chromosome","GenBank",3142.39,44,114.96,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"cattle","Cattle","Bos taurus","Mongolian cattle","GCA_043882115.1","ASM4388211v1","Chromosome","GenBank",3104.93,43.5,110.93,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"sheep","Sheep","Ovis aries","East Friesian sheep","GCA_033439445.1","ASM3343944v1","Chromosome","GenBank",2956.51,44,104.1,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"sheep","Sheep","Ovis aries","Awassi","GCA_040543055.1","ASM4054305v1","Chromosome","GenBank",2865.76,43.5,98.44,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"goat","Goat","Capra hircus","Tibetan Goat","GCA_049004405.1","ASM4900440v1","Chromosome","GenBank",2913.62,43.5,106.65,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"goat","Goat","Capra hircus","Shannan White Goat","GCA_049004675.1","ASM4900467v1","Chromosome","GenBank",2835.18,43,98.36,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"pig","Pig","Sus scrofa domesticus","Large White","GCA_029890215.1","ASM2989021v1","Scaffold","GenBank",2472.42,42,7.83,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"cattle","Cattle","Bos taurus","Lagune","GCA_057190615.1","LAG_1.0","Scaffold","GenBank",3327.61,44,113.37,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"goat","Goat","Capra hircus",NA,"GCA_055691435.1","CaHircus_AHG_v1","Scaffold","GenBank",2511.79,42,81.16,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"cattle","Cattle","Bos taurus","Hereford","GCA_000003205.6","Btau_5.0.1","Chromosome","GenBank",2724.98,42,6.81,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"cattle","Cattle","Bos taurus","Hereford","GCF_000003205.7","Btau_5.0.1","Chromosome","RefSeq",2724.98,42,6.81,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"sheep","Sheep","Ovis aries","Rambouillet","GCA_002742125.1","Oar_rambouillet_v1.0","Chromosome","GenBank",2869.9,42,107.7,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"sheep","Sheep","Ovis aries","Rambouillet","GCF_002742125.1","Oar_rambouillet_v1.0","Chromosome","RefSeq",2869.9,42,107.7,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
